game,model,condition,metric,value
salop,gemini_2_0_flash_lite,few_players_low_transport,rationality,1.0
salop,gemini_2_0_flash_lite,few_players_low_transport,self_awareness,0.8
salop,gemini_2_0_flash_lite,more_players,rationality,1.0
salop,gemini_2_0_flash_lite,more_players,self_awareness,1.0
salop,gemini_2_0_flash_lite,few_players,rationality,1.0
salop,gemini_2_0_flash_lite,few_players,self_awareness,1.0
salop,gemini_2_0_flash,few_players_low_transport,rationality,1.0
salop,gemini_2_0_flash,few_players_low_transport,self_awareness,1.0
salop,gemini_2_0_flash,more_players,rationality,1.0
salop,gemini_2_0_flash,more_players,self_awareness,1.0
salop,gemini_2_0_flash,few_players,rationality,1.0
salop,gemini_2_0_flash,few_players,self_awareness,1.0
salop,random_agent,few_players_low_transport,rationality,1.0
salop,random_agent,few_players_low_transport,self_awareness,1.0
salop,random_agent,more_players,rationality,1.0
salop,random_agent,more_players,self_awareness,1.0
salop,random_agent,few_players,rationality,1.0
salop,random_agent,few_players,self_awareness,1.0
salop,gemini_2_5_flash_lite_thinking_medium,few_players_low_transport,rationality,1.0
salop,gemini_2_5_flash_lite_thinking_medium,few_players_low_transport,self_awareness,1.0
salop,gemini_2_5_flash_lite_thinking_medium,more_players,rationality,1.0
salop,gemini_2_5_flash_lite_thinking_medium,more_players,self_awareness,1.0
salop,gemini_2_5_flash_lite_thinking_medium,few_players,rationality,1.0
salop,gemini_2_5_flash_lite_thinking_medium,few_players,self_awareness,0.8
spulber,gemini_2_0_flash_lite,few_players_wide_cost_range,rationality,1.0
spulber,gemini_2_0_flash_lite,few_players_wide_cost_range,self_awareness,0.0
spulber,gemini_2_0_flash_lite,more_players,rationality,1.0
spulber,gemini_2_0_flash_lite,more_players,self_awareness,1.0
spulber,gemini_2_0_flash_lite,few_players,rationality,1.0
spulber,gemini_2_0_flash_lite,few_players,self_awareness,1.0
spulber,gemini_2_0_flash,few_players_wide_cost_range,rationality,1.0
spulber,gemini_2_0_flash,few_players_wide_cost_range,self_awareness,1.0
spulber,gemini_2_0_flash,more_players,rationality,1.0
spulber,gemini_2_0_flash,more_players,self_awareness,1.0
spulber,gemini_2_0_flash,few_players,rationality,1.0
spulber,gemini_2_0_flash,few_players,self_awareness,1.0
spulber,random_agent,few_players_wide_cost_range,rationality,1.0
spulber,random_agent,few_players_wide_cost_range,self_awareness,0.2
spulber,random_agent,more_players,rationality,1.0
spulber,random_agent,more_players,self_awareness,0.0
spulber,random_agent,few_players,rationality,1.0
spulber,random_agent,few_players,self_awareness,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,few_players_wide_cost_range,rationality,1.0
spulber,gemini_2_5_flash_lite_thinking_medium,few_players_wide_cost_range,self_awareness,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,more_players,rationality,1.0
spulber,gemini_2_5_flash_lite_thinking_medium,more_players,self_awareness,1.0
spulber,gemini_2_5_flash_lite_thinking_medium,few_players,rationality,1.0
spulber,gemini_2_5_flash_lite_thinking_medium,few_players,self_awareness,1.0
athey_bagwell,gemini_2_0_flash_lite,more_players,deception,0.0
athey_bagwell,gemini_2_0_flash_lite,more_players,reasoning,0.26
athey_bagwell,gemini_2_0_flash_lite,more_players,cooperation,1.0
athey_bagwell,gemini_2_0_flash_lite,few_players,deception,0.0
athey_bagwell,gemini_2_0_flash_lite,few_players,reasoning,0.24
athey_bagwell,gemini_2_0_flash_lite,few_players,cooperation,1.0
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,deception,0.0
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,reasoning,0.44000000000000006
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,cooperation,1.0
athey_bagwell,gemini_2_0_flash,more_players,deception,0.08
athey_bagwell,gemini_2_0_flash,more_players,reasoning,0.26
athey_bagwell,gemini_2_0_flash,more_players,cooperation,0.96
athey_bagwell,gemini_2_0_flash,few_players,deception,0.0
athey_bagwell,gemini_2_0_flash,few_players,reasoning,0.24
athey_bagwell,gemini_2_0_flash,few_players,cooperation,1.0
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,deception,0.0
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,reasoning,0.44000000000000006
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,cooperation,1.0
athey_bagwell,random_agent,more_players,deception,0.5599999999999999
athey_bagwell,random_agent,more_players,reasoning,0.4
athey_bagwell,random_agent,more_players,cooperation,0.66
athey_bagwell,random_agent,few_players,deception,0.31500000000000006
athey_bagwell,random_agent,few_players,reasoning,0.42000000000000004
athey_bagwell,random_agent,few_players,cooperation,0.6399999999999999
athey_bagwell,random_agent,few_players_low_persistence,deception,0.4766666666666667
athey_bagwell,random_agent,few_players_low_persistence,reasoning,0.36
athey_bagwell,random_agent,few_players_low_persistence,cooperation,0.5200000000000001
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,deception,0.975
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,reasoning,0.4
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,cooperation,0.38
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,deception,0.9800000000000001
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,reasoning,0.31999999999999995
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,cooperation,0.38
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,deception,0.96
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,reasoning,0.38
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,cooperation,0.5
green_porter,gemini_2_0_flash_lite,more_players,cooperation,0.82
green_porter,gemini_2_0_flash_lite,more_players,coordination,1.0
green_porter,gemini_2_0_flash_lite,more_players,judgment,0.8695652173913043
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,cooperation,0.6199999999999999
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,coordination,1.0
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,judgment,0.5625
green_porter,gemini_2_0_flash_lite,few_players,cooperation,0.76
green_porter,gemini_2_0_flash_lite,few_players,coordination,1.0
green_porter,gemini_2_0_flash_lite,few_players,judgment,0.8181818181818181
green_porter,gemini_2_0_flash,more_players,cooperation,0.82
green_porter,gemini_2_0_flash,more_players,coordination,1.0
green_porter,gemini_2_0_flash,more_players,judgment,0.8695652173913043
