game,model,condition,metric,value
salop,gemini_2_0_flash_lite,few_players_low_transport,win_rate,0.6
salop,gemini_2_0_flash_lite,few_players_low_transport,average_profit,19432.666666666653
salop,gemini_2_0_flash_lite,few_players_low_transport,profit_volatility,19719.795525196365
salop,gemini_2_0_flash_lite,few_players_low_transport,market_share,0.9293333333333328
salop,gemini_2_0_flash_lite,more_players,win_rate,0.4
salop,gemini_2_0_flash_lite,more_players,average_profit,19342.293333333342
salop,gemini_2_0_flash_lite,more_players,profit_volatility,19740.51241351144
salop,gemini_2_0_flash_lite,more_players,market_share,1.055333333333334
salop,gemini_2_0_flash_lite,few_players,win_rate,0.8
salop,gemini_2_0_flash_lite,few_players,average_profit,30678.640000000003
salop,gemini_2_0_flash_lite,few_players,profit_volatility,31946.223513954745
salop,gemini_2_0_flash_lite,few_players,market_share,2.1353333333333335
salop,gemini_2_0_flash,few_players_low_transport,win_rate,1.0
salop,gemini_2_0_flash,few_players_low_transport,average_profit,227233.3333333333
salop,gemini_2_0_flash,few_players_low_transport,profit_volatility,4183.300132670378
salop,gemini_2_0_flash,few_players_low_transport,market_share,22.73333333333333
salop,gemini_2_0_flash,more_players,win_rate,1.0
salop,gemini_2_0_flash,more_players,average_profit,63395.0
salop,gemini_2_0_flash,more_players,profit_volatility,10951.318413780144
salop,gemini_2_0_flash,more_players,market_share,8.466
salop,gemini_2_0_flash,few_players,win_rate,1.0
salop,gemini_2_0_flash,few_players,average_profit,68522.0
salop,gemini_2_0_flash,few_players,profit_volatility,5050.498242747933
salop,gemini_2_0_flash,few_players,market_share,9.996
salop,random_agent,few_players_low_transport,win_rate,0.8
salop,random_agent,few_players_low_transport,average_profit,180107.14666666667
salop,random_agent,few_players_low_transport,profit_volatility,47031.371039301455
salop,random_agent,few_players_low_transport,market_share,14.111999999999998
salop,random_agent,more_players,win_rate,0.8
salop,random_agent,more_players,average_profit,53806.619999999995
salop,random_agent,more_players,profit_volatility,17868.0570073401
salop,random_agent,more_players,market_share,9.971333333333332
salop,random_agent,few_players,win_rate,1.0
salop,random_agent,few_players,average_profit,40041.933333333334
salop,random_agent,few_players,profit_volatility,29591.198055240075
salop,random_agent,few_players,market_share,8.490666666666666
salop,gemini_2_5_flash_lite_thinking_medium,few_players_low_transport,win_rate,0.8
salop,gemini_2_5_flash_lite_thinking_medium,few_players_low_transport,average_profit,207756.0
salop,gemini_2_5_flash_lite_thinking_medium,few_players_low_transport,profit_volatility,50804.34547249761
salop,gemini_2_5_flash_lite_thinking_medium,few_players_low_transport,market_share,18.895999999999997
salop,gemini_2_5_flash_lite_thinking_medium,more_players,win_rate,1.0
salop,gemini_2_5_flash_lite_thinking_medium,more_players,average_profit,73105.33333333333
salop,gemini_2_5_flash_lite_thinking_medium,more_players,profit_volatility,4219.705492619648
salop,gemini_2_5_flash_lite_thinking_medium,more_players,market_share,6.5986666666666665
salop,gemini_2_5_flash_lite_thinking_medium,few_players,win_rate,0.8
salop,gemini_2_5_flash_lite_thinking_medium,few_players,average_profit,60751.999999999985
salop,gemini_2_5_flash_lite_thinking_medium,few_players,profit_volatility,34151.41876018232
